# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0     1.0000019      -4.3e-06       3.6e-06      -1.3e-06         2e-07 
     -3.489      -3.139           7        20.0       400.0     1.0000015      -3.3e-06       2.7e-06        -9e-07         1e-07 
     -3.139      -2.853           7        20.0       550.0     1.0000001        -3e-07         2e-07        -1e-07           0.0 
     -2.853        -2.5           7        20.0       750.0     0.9999993       1.4e-06      -1.1e-06         4e-07          -0.0 
       -2.5      -2.322           7        20.0      1000.0     0.9999991       1.7e-06      -1.3e-06         4e-07          -0.0 
     -2.322       -1.93           7        20.0      1500.0     0.9999996         9e-07        -6e-07         2e-07          -0.0 
      -1.93      -1.653           7        20.0      2000.0     0.9999994       1.2e-06        -8e-07         3e-07          -0.0 
     -1.653      -1.305           7        20.0      2500.0           1.0           0.0          -0.0          -0.0           0.0 
     -1.305      -0.783           7        20.0      4000.0     0.9999999         3e-07        -2e-07           0.0          -0.0 
     -0.783        -0.0           7        20.0     10000.0     1.0000003        -5e-07         3e-07        -1e-07           0.0 
        0.0       0.783           7        20.0     10000.0     1.0000003        -5e-07         3e-07        -1e-07           0.0 
      0.783       1.305           7        20.0      4000.0     0.9999999         3e-07        -2e-07           0.0          -0.0 
      1.305       1.653           7        20.0      2500.0           1.0           0.0          -0.0          -0.0           0.0 
      1.653        1.93           7        20.0      2000.0     0.9999994       1.2e-06        -8e-07         3e-07          -0.0 
       1.93       2.322           7        20.0      1500.0     0.9999996         9e-07        -6e-07         2e-07          -0.0 
      2.322         2.5           7        20.0      1000.0     0.9999991       1.7e-06      -1.3e-06         4e-07          -0.0 
        2.5       2.853           7        20.0       750.0     0.9999993       1.4e-06      -1.1e-06         4e-07          -0.0 
      2.853       3.139           7        20.0       550.0     1.0000001        -3e-07         2e-07        -1e-07           0.0 
      3.139       3.489           7        20.0       400.0     1.0000015      -3.3e-06       2.7e-06        -9e-07         1e-07 
      3.489       5.191           7        20.0       300.0     1.0000019      -4.3e-06       3.6e-06      -1.3e-06         2e-07 
[bJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       120.0    -8.5275763     23.541822   -21.4370346     8.5664851    -1.2682094 
     -3.489      -3.139           7        20.0       200.0     1.6574143    -0.7857351     0.1771866     0.1021155    -0.0351059 
     -3.139      -2.853           7        20.0       300.0    -1.8670674     7.0255056     -6.217359     2.3883014    -0.3363906 
     -2.853        -2.5           7        20.0       400.0     1.6832181    -1.3724449     1.0913229    -0.3881351     0.0516777 
       -2.5      -2.322           7        20.0       400.0    -0.4520621     3.3075778    -2.6913528     0.9470403    -0.1221132 
