# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0    -0.8441205     4.0869439     -3.479745     1.3242405    -0.1880368 
     -3.489      -3.139           7        20.0       400.0      1.859621    -1.9131359     1.4128998    -0.4277955     0.0453017 
     -3.139      -2.853           7        20.0       400.0     2.7750911     -3.771557     2.8117745    -0.8944343     0.1038465 
     -2.853        -2.5           7        20.0       750.0     1.8563928    -1.7729467     1.2483577    -0.3686307     0.0392592 
       -2.5      -2.322           7        20.0      1000.0     1.9228013    -1.8653725      1.345978    -0.4228461     0.0494812 
     -2.322       -1.93           7        20.0      1500.0     1.8840327    -1.4812902     0.8745704    -0.2188868     0.0197508 
      -1.93      -1.653           7        20.0      1500.0     1.9301771    -1.5815159     0.9682814    -0.2581636     0.0255686 
     -1.653      -1.305           7        20.0      2000.0     1.5131845    -0.7680734     0.3991451     -0.086438     0.0065577 
     -1.305      -0.783           7        20.0      2000.0     1.8306309    -1.4310539     0.8947996    -0.2428446     0.0242395 
     -0.783        -0.0           7        20.0      2500.0     1.7108224    -1.2000902     0.7401443    -0.1991159     0.0197592 
        0.0       0.783           7        20.0      2500.0     1.7108224    -1.2000902     0.7401443    -0.1991159     0.0197592 
      0.783       1.305           7        20.0      2000.0     1.8306309    -1.4310539     0.8947996    -0.2428446     0.0242395 
      1.305       1.653           7        20.0      2000.0     1.5131845    -0.7680734     0.3991451     -0.086438     0.0065577 
      1.653        1.93           7        20.0      1500.0     1.9301771    -1.5815159     0.9682814    -0.2581636     0.0255686 
       1.93       2.322           7        20.0      1500.0     1.8840327    -1.4812902     0.8745704    -0.2188868     0.0197508 
      2.322         2.5           7        20.0      1000.0     1.9228013    -1.8653725      1.345978    -0.4228461     0.0494812 
        2.5       2.853           7        20.0       750.0     1.8563928    -1.7729467     1.2483577    -0.3686307     0.0392592 
      2.853       3.139           7        20.0       400.0     2.7750911     -3.771557     2.8117745    -0.8944343     0.1038465 
      3.139       3.489           7        20.0       400.0      1.859621    -1.9131359     1.4128998    -0.4277955     0.0453017 
      3.489       5.191           7        20.0       300.0    -0.8441205     4.0869439     -3.479745     1.3242405    -0.1880368 
[bJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       120.0    23.2896506   -56.4093197    53.3406253    -22.290354     3.4717213 
     -3.489      -3.139           7        20.0       150.0    -3.6390841    10.2080268    -8.1121048     2.7677964    -0.3387704 
     -3.139      -2.853           7        20.0       150.0    -4.4094539    14.1672688   -13.5603848     5.6613061    -0.8701295 
     -2.853        -2.5           7        20.0       300.0      4.855834    -9.2240587     8.2505439    -3.2438265     0.4720725 
       -2.5      -2.322           7        20.0       300.0    -5.3349021    15.4443421   -13.7840581     5.3671659    -0.7701877 
     -2.322       -1.93           7        20.0       400.0     0.8139237     0.8341988    -0.8724309     0.3604981    -0.0530912 
      -1.93      -1.653           7        20.0       750.0     0.6491649     1.0972382    -0.9438639     0.3186599    -0.0373464 
     -1.653      -1.305           7        20.0      1500.0     1.7894977    -1.3253596     0.9399454    -0.3128854     0.0394141 
     -1.305      -0.783           7        20.0      1500.0     1.5780282    -0.7657074     0.3937925    -0.0895703     0.0072363 
     -0.783        -0.0           7        20.0      1500.0     1.4928669    -0.7498947     0.4739841    -0.1413233     0.0160087 
        0.0       0.783           7        20.0      1500.0     1.4928669    -0.7498947     0.4739841    -0.1413233     0.0160087 
      0.783       1.305           7        20.0      1500.0     1.5780282    -0.7657074     0.3937925    -0.0895703     0.0072363 
      1.305       1.653           7        20.0      1500.0     1.7894977    -1.3253596     0.9399454    -0.3128854     0.0394141 
      1.653        1.93           7        20.0       750.0     0.6491649     1.0972382    -0.9438639     0.3186599    -0.0373464 
       1.93       2.322           7        20.0       400.0     0.8139237     0.8341988    -0.8724309     0.3604981    -0.0530912 
